Date;Residence;Ouvertures;Clotures
"30-04-2019";"Non-résident CTR";"30";"17"
"31-01-2014";"Résident";"2833";"2150"
"30-06-2022";"Résident";"2087";"2333"
"31-01-2023";"Non-résident CTR";"64";"33"
"31-03-2019";"Non-résident sans statut particulier";"588";"425"
"30-06-2016";"Non-résident CTR";"30";"12"
"30-09-2019";"Non-résident sans statut particulier";"569";"445"
"31-01-2016";"Non-résident sans statut particulier";"234";"170"
"31-01-2021";"Résident";"2696";"2094"
"30-11-2022";"Résident";"2619";"2323"
"31-07-2014";"Non-résident sans statut particulier";"86";"64"
"31-05-2018";"Non-résident CTR";"42";"12"
"31-10-2018";"Non-résident CTR";"29";"21"
"30-11-2015";"Résident";"2198";"2041"
"31-07-2021";"Résident";"2167";"2573"
"31-12-2017";"Non-résident CTR";"42";"21"
"31-12-2021";"Résident";"2256";"2373"
"28-02-2014";"Non-résident CTR";"28";"2"
"31-05-2015";"Résident";"1606";"2275"
"31-01-2017";"Non-résident CTR";"49";"15"
"30-04-2017";"Résident";"1618";"2205"
"31-12-2014";"Résident";"2097";"1914"
"30-06-2022";"Non-résident sans statut particulier";"378";"390"
"30-04-2017";"Non-résident sans statut particulier";"213";"238"
"30-09-2017";"Résident";"2622";"2311"
"31-05-2016";"Résident";"1690";"2564"
"28-02-2021";"Non-résident CTR";"33";"21"
"31-01-2023";"Non-résident sans statut particulier";"626";"467"
"31-08-2019";"Résident";"2169";"2160"
"30-06-2015";"Non-résident sans statut particulier";"172";"155"
"31-03-2019";"Non-résident CTR";"13";"33"
"30-06-2016";"Non-résident sans statut particulier";"196";"227"
"31-03-2020";"Non-résident CTR";"24";"17"
"31-05-2022";"Résident";"2142";"2530"
"30-09-2020";"Non-résident CTR";"19";"19"
"31-10-2018";"Non-résident sans statut particulier";"363";"310"
"30-09-2019";"Non-résident CTR";"35";"30"
"31-08-2020";"Non-résident sans statut particulier";"347";"804"
"30-11-2018";"Non-résident CTR";"55";"25"
"28-02-2014";"Non-résident sans statut particulier";"109";"43"
"31-07-2014";"Résident";"2370";"2083"
"31-03-2020";"Non-résident sans statut particulier";"389";"401"
"28-02-2021";"Non-résident sans statut particulier";"460";"363"
"30-06-2015";"Résident";"1897";"2306"
"31-01-2016";"Non-résident CTR";"18";"7"
"30-11-2016";"Non-résident sans statut particulier";"240";"196"
"31-07-2021";"Non-résident sans statut particulier";"432";"421"
"31-03-2015";"Non-résident CTR";"24";"4"
"31-03-2023";"Résident";"2528";"2614"
"31-05-2014";"Résident";"1878";"2379"
"30-06-2021";"Non-résident CTR";"41";"26"
"30-09-2017";"Non-résident sans statut particulier";"255";"212"
"31-07-2017";"Non-résident sans statut particulier";"228";"230"
"31-12-2015";"Non-résident CTR";"43";"9"
"31-08-2015";"Non-résident sans statut particulier";"164";"155"
"31-01-2021";"Non-résident CTR";"39";"19"
"31-10-2019";"Résident";"3036";"2278"
"31-05-2018";"Non-résident sans statut particulier";"185";"228"
"30-04-2016";"Résident";"1685";"2208"
"31-05-2018";"Résident";"1781";"2395"
"31-03-2019";"Résident";"2509";"2936"
